Food_ID,Food_Name,Category,Energy_kcal,Carbs_g,Protein_g,Fat_g,Rasa,Guna,Virya,Vipaka,Dosha_Effect,Prabhava
A001,Egg (Chicken),Animal Product,155,1.1,13,11,Madhura,"Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Pitta & Kapha,Strength promoting
A002,Chicken,Animal Product,239,0,27,14,Madhura,"Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Kapha,Nourishing
A003,Fish (Salmon),Animal Product,208,0,20,13,Madhura,"Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Pitta & Kapha,Rich in Omega-3
A004,Lamb,Animal Product,282,0,25,21,Madhura,"Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Pitta & Kapha,"Warming, strength building"
A005,Beef,Animal Product,250,0,26,15,Madhura,"Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Kapha,Grounding
D001,Milk (Cow),Dairy,61,4.8,3.4,3.3,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Ojas promoting
D002,Yogurt (Curd),Dairy,59,3.6,10,0.4,"Amla, Madhura","Guru, Snigdha",Ushna,Amla,Increases Kapha & Pitta; balances Vata,"Probiotic, digestive"
D003,Ghee,Dairy,900,0,0,100,Madhura,"Snigdha, Laghu",Shita,Madhura,Balances Vata & Pitta; increases Kapha in excess,Rasayana (rejuvenative)
D004,Paneer,Dairy,265,1.2,18,21,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata; increases Kapha,Strength promoting
D005,Butter,Dairy,717,0.1,0.9,81,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata; increases Kapha,"Nourishing, cooling"
D006,Buttermilk,Dairy,40,4.8,3.3,0.9,"Kashaya, Amla, Madhura","Laghu, Ruksha",Ushna,Madhura,Balances Vata & Kapha; may increase Pitta if sour,"Aids digestion, treats malabsorption"
D007,Cheese (hard),Dairy,402,1.3,25,33,"Madhura, Amla",Guru,Ushna,Amla,Increases Kapha & Pitta; balances Vata,Grounding
D008,Goat Milk,Dairy,69,4.5,3.6,4.1,"Madhura, Kashaya",Laghu,Shita,Madhura,Tridoshic,Lighter than cow's milk
D011,Lassi (sweet),Dairy,78,12,4,1.5,"Madhura, Amla","Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,"Digestive, calming"
D012,Kefir,Dairy,64,6,4,3.5,Amla,Guru,Ushna,Amla,Balances Vata; increases Pitta & Kapha,Probiotic-rich
D013,Sour Cream,Dairy,193,4.6,2.4,19,Amla,"Guru, Snigdha",Ushna,Amla,Balances Vata; increases Pitta & Kapha,Cooling sensation
D014,Cream,Dairy,345,3,2.2,36,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Nourishing
D015,Khoya (Mawa),Dairy,378,25,19,22,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Strength promoting
D009,Almond Milk,Dairy Alternative,39,3.4,1,2.5,Madhura,Snigdha,Shita,Madhura,Balances Vata & Pitta; may increase Kapha,Nourishing
D010,Coconut Milk,Dairy Alternative,230,6,2.3,24,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Cooling
F001,Banana,Fruit,89,22.8,1.1,0.3,"Madhura, Kashaya","Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,"Nourishing, grounding"
F002,Apple,Fruit,52,14,0.3,0.2,"Madhura, Kashaya","Laghu, Ruksha",Shita,Madhura,Balances Pitta & Kapha; may aggravate Vata,"Cooling, heart tonic"
F003,Mango (ripe),Fruit,60,15,0.8,0.4,"Madhura, Amla","Guru, Snigdha",Ushna,Madhura,Balances Vata; increases Pitta & Kapha,Rasayana (rejuvenative)
F004,Orange,Fruit,47,12,0.9,0.1,"Amla, Madhura",Laghu,Shita,Madhura,Balances Vata & Pitta; may aggravate Kapha,Vitamin C rich
F005,Pomegranate,Fruit,83,19,1.7,1.2,"Madhura, Kashaya, Amla","Laghu, Snigdha",Shita,Madhura,Balances all doshas (Tridoshic),Hridaya (good for heart)
F006,Grapes,Fruit,69,18,0.7,0.2,"Madhura, Amla","Snigdha, Guru",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Blood purifier
F007,Watermelon,Fruit,30,8,0.6,0.2,Madhura,"Laghu, Snigdha",Shita,Madhura,Balances Pitta; increases Kapha & Vata,"Diuretic, hydrating"
F008,Papaya (ripe),Fruit,43,11,0.5,0.3,"Madhura, Katu",Laghu,Ushna,Madhura,Balances Vata & Kapha; increases Pitta,Aids digestion
F009,Pineapple,Fruit,50,13,0.5,0.1,"Madhura, Amla",Guru,Ushna,Madhura,Balances Vata; increases Pitta & Kapha,Anti-inflammatory
F010,Guava,Fruit,68,14,2.6,1,"Kashaya, Madhura, Amla",Guru,Shita,Katu,Balances Pitta & Kapha; may increase Vata,Rich in Vitamin C
F011,Dates,Fruit,282,75,2.5,0.2,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,"Ojas building, aphrodisiac"
F012,Fig,Fruit,74,19,0.8,0.3,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Laxative
F013,Amla (Indian Gooseberry),Fruit,44,10,0.9,0.6,"Amla (primary), all other five tastes except Lavana","Guru, Ruksha",Shita,Madhura,"Tridoshic, especially good for Pitta",Rasayana (rejuvenative)
F014,Lemon,Fruit,29,9,1.1,0.3,Amla,"Laghu, Tikshna",Ushna,Amla,Balances Vata & Kapha; increases Pitta,Stimulates digestion
F015,Coconut (fresh),Fruit,354,15,3.3,33,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata & Pitta; increases Kapha,"Cooling, nourishing"
F016,Avocado,Fruit,160,9,2,15,Madhura,"Snigdha, Guru",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Nourishes tissues
F017,Lime,Fruit,30,11,0.7,0.2,Amla,Laghu,Shita,Madhura,Balances Vata & Pitta,Digestive aid
F018,Jackfruit,Fruit,95,23,1.7,0.6,"Madhura, Kashaya","Guru, Snigdha",Shita,Madhura,Balances Vata; increases Kapha,Strength promoting
F019,Lychee,Fruit,66,17,0.8,0.4,Madhura,Snigdha,Shita,Madhura,Balances Vata & Pitta; may increase Kapha,Brain tonic
F020,Muskmelon,Fruit,34,8,0.8,0.2,Madhura,Guru,Shita,Madhura,Balances Pitta; may increase Kapha,"Diuretic, coolant"
F021,Peach,Fruit,39,10,0.9,0.3,"Madhura, Amla","Guru, Snigdha",Ushna,Madhura,Balances Vata; may increase Pitta & Kapha,Laxative
F022,Pear,Fruit,57,15,0.4,0.1,"Madhura, Kashaya","Guru, Ruksha",Shita,Madhura,Balances Pitta; may increase Vata & Kapha,Mild diuretic
F023,Plum,Fruit,46,11,0.7,0.3,"Amla, Madhura",Guru,Ushna,Amla,Balances Vata; increases Pitta & Kapha,Blood purifier
F024,Strawberry,Fruit,32,8,0.7,0.3,"Madhura, Amla, Kashaya",Laghu,Shita,Madhura,Balances Pitta; may increase Vata,Cooling
F025,Jamun (Java Plum),Fruit,60,15,0.7,0.2,"Kashaya, Madhura, Amla","Laghu, Ruksha",Shita,Katu,Balances Kapha & Pitta; increases Vata,Good for diabetes
G001,Rice (white),Grain,130,28,2.4,0.2,Madhura,"Snigdha, Manda",Shita,Madhura,Balances Vata & Pitta; increases Kapha,Easy to digest
G002,Wheat,Grain,327,71,12,1.5,Madhura,"Guru, Snigdha",Shita,Madhura,Balances Vata; increases Kapha,Strength promoting
G003,Barley,Grain,354,73,12,2.3,"Madhura, Kashaya","Laghu, Ruksha",Shita,Madhura,Balances Kapha & Pitta; aggravates Vata,Diuretic
G004,Ragi (Finger Millet),Grain,336,72,7.3,1.3,Madhura,Guru,Shita,Madhura,Balances Pitta; may increase Kapha,Bone strength
